ProductModelID,Name,rowguid,ModifiedDate
1,Classic Vest,29321d47-1e4c-4aac-887c-19634328c25e,2013-04-30 00:00:00.000
2,Cycling Cap,474fb654-3c96-4cb9-82df-2152eeffbdb0,2011-05-01 00:00:00.000
3,Full-Finger Gloves,a75483fe-3c47-4aa4-93cf-664b51192987,2012-04-30 00:00:00.000
4,Half-Finger Gloves,14b56f2a-d4aa-40a4-b9a2-984f165ed702,2012-04-30 00:00:00.000
5,HL Mountain Frame,fdd5407b-c2db-49d1-a86b-c13a2e3582a2,2011-05-01 00:00:00.000
6,HL Road Frame,4d332ecc-48b3-4e04-b7e7-227f3ac2a7ec,2008-03-31 00:00:00.000
7,HL Touring Frame,d60ed2a5-c100-4c54-89a1-531404c4a20f,2015-04-15 16:34:28.980
8,LL Mountain Frame,65bf3f6d-bcf2-4db6-8515-fc5c57423037,2012-10-19 09:56:38.273
9,LL Road Frame,ddc67a2f-024a-4446-9b54-3c679baba708,2011-05-01 00:00:00.000
10,LL Touring Frame,66c63844-2a24-473c-96d5-d3b3fd57d834,2015-04-15 16:34:28.980
11,Long-Sleeve Logo Jersey,20efe3f1-a2f8-4dde-b74b-18265f61f863,2011-05-01 00:00:00.000
12,Men's Bib-Shorts,219e2f87-26a9-483b-b968-04578e943096,2012-04-30 00:00:00.000
13,Men's Sports Shorts,45fe0d77-6645-473c-a116-1232baea8d43,2012-04-30 00:00:00.000
14,ML Mountain Frame,0d48c51d-7603-4010-9265-0491805bb010,2012-04-30 00:00:00.000
15,ML Mountain Frame-W,aa77697c-6d1c-48f1-845c-3cb089498715,2012-04-30 00:00:00.000
16,ML Road Frame,3494e8ff-7daf-4860-abf6-97842048e272,2011-05-01 00:00:00.000
17,ML Road Frame-W,ca18ecfd-2023-4fa7-a556-0321153bca34,2012-04-30 00:00:00.000
18,Mountain Bike Socks,36b1a76a-dff3-4a55-86f9-65eb1cb18d7b,2011-05-01 00:00:00.000
19,Mountain-100,fca0665b-b956-489a-a5ec-6f0b4aa14d02,2011-05-01 00:00:00.000
20,Mountain-200,3b78edff-2aa9-4ac1-8c3d-94090b5f53a9,2012-04-30 00:00:00.000
21,Mountain-300,ecddd0d7-2db2-464d-b2da-89bffc6276aa,2012-04-30 00:00:00.000
22,Mountain-400-W,6d2fcce4-ffce-4662-a3f8-5d18f0eedcd8,2013-04-30 00:00:00.000
